algorithm,name,time,nb_clusters,error,modularity
Louvain,Croatia,2.876326084136963,26,0.18882964103127925,0.7398027639791998
Label propagation,Croatia,2.0629217624664307,122,0.1973136899199238,0.6784772465634586
Louvain,Hungary,2.0156548023223877,25,0.21668980604989696,0.6791371560455277
Label propagation,Hungary,1.7884762287139893,32,0.2171736295174388,0.1354255515231916
Louvain,Romania,1.812486171722412,45,0.21638378857156537,0.7538882403213177
Label propagation,Romania,2.5115818977355957,552,0.2250736121418121,0.6045274962194309
