;macro;micro;weighted
GEMSEC;18.62%;42.38%;43.21%
GEMSEC With Regularization;18.40%;42.27%;42.79%
DeepWalk;19.12%;43.21%;43.52%
DeepWalk With Regularization;18.98%;42.70%;43.13%
Node2Vec;2.33%;24.14%;13.04%
Laplacian_Eigenmaps;17.74%;44.34%;44.30%
MNMF;17.56%;42.16%;42.97%
DANMF;18.69%;43.86%;44.67%
