;macro;micro;weighted
GEMSEC;6.19%;37.31%;24.62%
GEMSEC With Regularization;6.35%;38.61%;25.71%
DeepWalk;6.19%;37.84%;24.97%
DeepWalk With Regularization;6.16%;37.88%;25.13%
Node2Vec;3.92%;33.78%;18.34%
Laplacian_Eigenmaps;3.97%;33.88%;18.46%
MNMF;5.40%;35.97%;22.66%
DANMF;4.74%;35.32%;20.78%
