;macro;micro;weighted
GEMSEC;19.33%;43.81%;46.41%
GEMSEC With Regularization;18.94%;42.61%;45.78%
DeepWalk;18.67%;42.72%;45.65%
DeepWalk With Regularization;18.73%;42.45%;45.73%
Node2Vec;3.97%;33.62%;18.26%
Laplacian_Eigenmaps;18.11%;43.34%;45.53%
MNMF;18.51%;42.86%;45.69%
DANMF;17.89%;42.91%;45.36%
